,phrase,label,sentiment,subjectivity,language,count,gnd,geonames,geotype,latitude,longitude,continent,country,ipcc
Shawville,Shawville,GPE,0.10526316,0.31578947,en,1.90000000,,-1,,,,,,
Reno,Reno,GPE,0.13157895,0.47368421,en,1.90000000,,-1,,,,,,
the Central West,the Central West,LOC,0.02930622,0.48803828,en,1.90000000,,-1,,,,,,
Chile Argentina,Chile Argentina,GPE,0.10526316,0.42105263,en,1.90000000,,-1,,,,,,
Mount Everest,Mount Everest,LOC,-0.84210526,1.05263158,en,1.90000000,,-1,,,,,,
Hingoli district,Hingoli district,LOC,0.00000000,0.00000000,en,1.90000000,,-1,,,,,,
Kikai,Kikai,LOC,-0.05263158,0.21052632,en,1.90000000,,-1,,,,,,
Minahasa,Minahasa,GPE,0.00000000,0.24561404,en,1.90000000,,-1,,,,,,
Skwentna,Skwentna,GPE,0.00000000,0.00000000,en,1.90000000,,-1,,,,,,
the Northern Molucca Sea,the Northern Molucca Sea,LOC,0.21052632,0.68421053,en,1.90000000,,-1,,,,,,
Santa Cruz Mountains Residents React to Strongest,Santa Cruz Mountains Residents React to Strongest,GPE,0.00000000,0.00000000,en,1.90000000,,-1,,,,,,
Merizo Village,Merizo Village,GPE,0.00000000,0.00000000,en,1.90000000,,-1,,,,,,
Haryana,Haryana,GPE,-0.01116427,0.09728868,en,1.90000000,4239291-3,1270260,X,29.00000000,76.00000000,ASIA,India,SAS
Punjab,Punjab,GPE,-0.01116427,0.09728868,en,1.90000000,,-1,,,,,,
North India,North India,GPE,0.30921053,0.46710526,en,1.90000000,,-1,,,,,,
North Korea,North Korea,GPE,0.05263158,0.21052632,en,1.90000000,,-1,,,,,,
Las Vegas Park,Las Vegas Park,GPE,0.03258145,0.13345865,en,1.90000000,,-1,,,,,,
JAKARTA,JAKARTA,GPE,0.02631579,0.53508772,en,1.90000000,,-1,,,,,,
Pacocha,Pacocha,GPE,0.00000000,0.00000000,en,1.90000000,,-1,,,,,,
-7.4,-7.4,GPE,-0.13157895,0.14035088,en,1.90000000,,-1,,,,,,
Atacama,Atacama,GPE,0.00000000,0.00000000,en,1.90000000,4003346-6,3899194,X,-28.51584000,-71.99999900,SOUTH-AMERICA,,SWS
Coushatta,Coushatta,GPE,-0.04385965,0.28654971,en,1.90000000,,-1,,,,,,
Thrace,Thrace,GPE,0.00000000,0.00000000,en,1.90000000,,-1,,,,,,
Sendai City,Sendai City,GPE,0.10526316,0.42105263,en,1.90000000,,-1,,,,,,
Novorossiysk,Novorossiysk,GPE,0.00000000,0.00000000,en,1.90000000,4307939-8,518255,X,44.72438900,37.76751900,EUROPE-AFRICA,Russia,MED
Gulf of California,Gulf of California,LOC,0.10526316,0.31578947,en,1.90000000,,-1,,,,,,
KUALA LUMPUR,KUALA LUMPUR,GPE,0.00000000,0.17543860,en,1.90000000,,-1,,,,,,
Kanchenjunga,Kanchenjunga,GPE,0.10526316,0.31578947,en,1.90000000,,-1,,,,,,
Nicobar,Nicobar,GPE,0.00000000,0.21052632,en,1.90000000,,-1,,,,,,
Puerto Escondido,Puerto Escondido,GPE,0.03508772,0.14035088,en,1.90000000,,-1,,,,,,
Ilam,Ilam,GPE,0.02631579,0.19298246,en,1.90000000,,-1,,,,,,
Mai Jogmai Rural Municipality,Mai Jogmai Rural Municipality,GPE,0.02631579,0.19298246,en,1.90000000,,-1,,,,,,
Shaanxi,Shaanxi,GPE,0.37894737,0.62969925,en,1.90000000,4217620-7,1796480,X,36.00000000,109.00000000,ASIA,China,EAS
Pacitan City,Pacitan City,GPE,-0.18713450,0.42105263,en,1.90000000,,-1,,,,,,
Wellington,Wellington,GPE,0.00000000,0.00000000,en,1.90000000,4119042-7,2179537,X,-41.28638800,174.77555500,OCEANIA,New Zealand,NZ
Myrtle Beach,Myrtle Beach,GPE,0.10526316,0.84210526,en,1.90000000,,-1,,,,,,
Mumbai,Mumbai,GPE,-0.63157895,1.05263158,en,1.90000000,10013721-0,1275339,X,19.07277700,72.88250000,ASIA,India,SAS
Salt Lake City,Salt Lake City,GPE,0.00000000,0.00000000,en,1.90000000,,-1,,,,,,
New Madrid,New Madrid,GPE,0.14354067,0.47846890,en,1.90000000,,-1,,,,,,
Virginia City,Virginia City,GPE,0.05645933,0.40574163,en,1.90000000,,-1,,,,,,
the Calaveras Fault,the Calaveras Fault,LOC,-0.07894737,0.78947368,en,1.90000000,,-1,,,,,,
Cyprus,Cyprus,GPE,0.00000000,0.00000000,en,1.90000000,,-1,,,,,,
An Enormous Lake,An Enormous Lake,LOC,0.07017544,0.57017544,en,1.90000000,,-1,,,,,,
Great Falls,Great Falls,GPE,0.26260965,0.56085526,en,1.90000000,,-1,,,,,,
Hawai'i Island,Hawai'i Island,LOC,0.00000000,1.05263158,en,1.90000000,,-1,,,,,,
Paso Robles,Paso Robles,GPE,-0.02456140,0.33684211,en,1.90000000,,-1,,,,,,
Central Coast,Central Coast,LOC,-0.02456140,0.33684211,en,1.90000000,,-1,,,,,,
Gerash,Gerash,GPE,-0.01315789,0.60526316,en,1.90000000,,-1,,,,,,
Gwynedd,Gwynedd,GPE,0.01754386,0.51754386,en,1.90000000,,-1,,,,,,
Singapore,Singapore,GPE,0.00751880,0.47619048,en,1.90000000,4055089-8,1880251,X,1.36667000,103.79999900,ASIA,Singapore,SEA
Vancouver,Vancouver,GPE,0.09649123,0.24561404,en,1.90000000,,-1,,,,,,
Bhojpur,Bhojpur,GPE,0.00000000,0.00000000,en,1.90000000,,-1,,,,,,
Kanpur,Kanpur,GPE,0.01776316,0.30460526,en,1.90000000,4029504-7,1267995,X,26.44780000,80.34627000,ASIA,India,SAS
the Bay of,the Bay of,LOC,0.00000000,0.39035088,en,1.90000000,,-1,,,,,,
Alps,Alps,GPE,0.00000000,0.21052632,en,1.90000000,,-1,,,,,,
Putatan,Putatan,GPE,-0.17105263,0.53947368,en,1.90000000,,-1,,,,,,
SAN RAMON,SAN RAMON,GPE,0.71052632,0.78947368,en,1.90000000,,-1,,,,,,
Kalimantan,Kalimantan,GPE,0.28070175,0.54385965,en,1.90000000,,-1,,,,,,
BANGKOK,BANGKOK,GPE,0.18421053,0.28947368,en,1.90000000,,-1,,,,,,
Bhotkhola Rural Municipality,Bhotkhola Rural Municipality,GPE,0.00000000,0.21929825,en,1.90000000,,-1,,,,,,
Ritak,Ritak,GPE,0.00000000,0.21929825,en,1.90000000,,-1,,,,,,
Peshawar,Peshawar,GPE,0.00000000,0.00000000,en,1.90000000,4126560-9,1168197,X,34.00800000,71.57849000,ASIA,Pakistan,WCA
Doda district,Doda district,LOC,0.18421053,0.42105263,en,1.90000000,,-1,,,,,,
HONG KONG,HONG KONG,GPE,0.09210526,0.14473684,en,1.90000000,,-1,,,,,,
the Volcano Islands,the Volcano Islands,LOC,0.09210526,0.14473684,en,1.90000000,,-1,,,,,,
South Carolina,South Carolina,GPE,0.00000000,0.26315789,en,1.90000000,4055656-6,4597040,X,34.30000000,-81.00000000,NORTH-AMERICA,United States,ENA
Nye County,Nye County,GPE,0.00000000,0.00000000,en,1.90000000,,-1,,,,,,
Monroe,Monroe,GPE,0.19736842,0.52631579,en,1.90000000,,-1,,,,,,
Rome,Rome,GPE,-0.30370370,0.54135802,en,1.80000000,,-1,,,,,,
Jamaica,Jamaica,GPE,-0.64043210,1.69907407,en,1.80000000,4028456-6,3489940,X,18.25000000,-77.50000000,CENTRAL-AMERICA,Jamaica,CAR
NEW MEXICO,NEW MEXICO,GPE,0.06313131,0.48821549,en,1.80000000,,-1,,,,,,
Southwest,Southwest,LOC,0.06313131,0.48821549,en,1.80000000,,-1,,,,,,
Vietnam,Vietnam,GPE,0.16928105,1.10522876,en,1.70000000,4063514-4,1562822,X,16.16666900,107.83333000,ASIA,Vietnam,SEA
Southern Mexico,Southern Mexico,LOC,0.05421866,0.12789661,en,1.70000000,,-1,,,,,,
Bay Area Rocked,Bay Area Rocked,LOC,0.25326797,0.81699346,en,1.70000000,,-1,,,,,,
Time Zone,Time Zone,GPE,0.00000000,0.00000000,en,1.70000000,,-1,,,,,,
NEW DELHI,NEW DELHI,GPE,0.15641711,0.38343519,en,1.70000000,,-1,,,,,,
The West Coast,The West Coast,LOC,-0.01225490,0.17647059,en,1.70000000,,-1,,,,,,
South America,South America,LOC,0.11764706,0.64705882,en,1.70000000,,-1,,,,,,
Mendocino,Mendocino,GPE,0.17326203,0.62459893,en,1.70000000,,-1,,,,,,
Iwate Prefecture,Iwate Prefecture,LOC,0.17647059,0.32352941,en,1.70000000,,-1,,,,,,
Gaza,Gaza,GPE,0.08680556,0.43402778,en,1.60000000,,-1,,,,,,
Santorini,Santorini,GPE,0.18750000,0.90625000,en,1.60000000,,-1,,,,,,
South Sudan,South Sudan,GPE,-0.46458333,1.18541667,en,1.60000000,,-1,,,,,,
Ethiopia,Ethiopia,GPE,0.05982906,0.51709402,en,1.30000000,4000639-6,337996,X,8.00000000,38.00000000,AFRICA,Ethiopia,NEAF
Aceh,Aceh,GPE,0.00000000,0.00000000,en,1.30000000,,-1,,,,,,
the United Kingdom,the United Kingdom,GPE,0.00000000,0.00000000,en,1.30000000,,-1,,,,,,
Ohio,Ohio,GPE,0.00000000,0.38461538,en,1.30000000,,-1,,,,,,
North America's,North America's,LOC,0.17948718,0.64743590,en,1.30000000,,-1,,,,,,
Latin America,Latin America,LOC,-0.33333333,0.53846154,en,1.30000000,,-1,,,,,,
San Diego County,San Diego County,GPE,0.38461538,0.71794872,en,1.30000000,,-1,,,,,,
the Historical Peninsula,the Historical Peninsula,LOC,0.02564103,0.07692308,en,1.30000000,,-1,,,,,,
KHON2,KHON2,GPE,0.15384615,0.33846154,en,1.30000000,,-1,,,,,,
Mediterranean,Mediterranean,LOC,0.61538462,1.00000000,en,1.30000000,,-1,,,,,,
HONOLULU,HONOLULU,GPE,0.15384615,0.33846154,en,1.30000000,,-1,,,,,,
Danapur,Danapur,GPE,-0.44444444,0.49572650,en,1.30000000,,-1,,,,,,
Brazil,Brazil,GPE,0.14236111,1.38750000,en,1.20000000,4008003-1,3469034,X,-10.00000000,-55.00000000,SOUTH-AMERICA,Brazil,SAM
Tenn.,Tenn.,GPE,-0.12500000,1.37500000,en,1.20000000,,-1,,,,,,
Southport,Southport,GPE,-0.62962963,0.90740741,en,1.20000000,,-1,,,,,,
Aegean Sea,Aegean Sea,LOC,0.26262626,0.66035354,en,1.10000000,,-1,,,,,,
Woodland Hills,Woodland Hills,GPE,0.24793388,0.82644628,en,1.10000000,,-1,,,,,,
San Andreas Fault,San Andreas Fault,LOC,0.17613636,1.40340909,en,1.10000000,,-1,,,,,,
Florina,Florina,GPE,-0.02272727,0.80303030,en,1.10000000,4385909-4,736229,X,40.78197000,21.40981000,EUROPE-AFRICA,Greece,MED
Colosseum,Colosseum,GPE,-0.07272727,0.25454545,en,1.10000000,,-1,,,,,,
Tughrul,Tughrul,GPE,0.00000000,0.00000000,en,1.10000000,,-1,,,,,,
Morocco,Morocco,GPE,0.00000000,0.00000000,en,1.10000000,4037680-1,2542007,X,32.00000000,-5.00000000,EUROPE-AFRICA,Morocco,MED
Eastern Europe,Eastern Europe,LOC,0.04545455,0.59090909,en,1.10000000,,-1,,,,,,
Hamadori,Hamadori,GPE,0.34573003,0.87465565,en,1.10000000,,-1,,,,,,
Humphreys County,Humphreys County,GPE,0.00000000,0.67272727,en,1.10000000,,-1,,,,,,
ROME,ROME,GPE,-0.18181818,0.86363636,en,1.10000000,,-1,,,,,,
Amyntaio,Amyntaio,GPE,-0.02272727,0.80303030,en,1.10000000,,-1,,,,,,
Rey,Rey,GPE,0.00000000,0.00000000,en,1.10000000,,-1,,,,,,
the Tianshan Mountains,the Tianshan Mountains,LOC,0.33057851,0.83746556,en,1.10000000,,-1,,,,,,
the Marina Islands,the Marina Islands,LOC,0.18181818,0.27272727,en,1.10000000,,-1,,,,,,
the Mariana Trench,the Mariana Trench,LOC,0.00000000,0.36363636,en,1.10000000,,-1,,,,,,
Elephant Valley,Elephant Valley,LOC,0.13636364,0.45454545,en,1.00000000,,-1,,,,,,
the North Islands East Coast,the North Islands East Coast,LOC,0.00000000,1.00000000,en,1.00000000,,-1,,,,,,
Khulm,Khulm,GPE,0.00000000,0.00000000,en,1.00000000,,-1,,,,,,
Puerto Rico's,Puerto Rico's,GPE,-0.50000000,1.00000000,en,1.00000000,,-1,,,,,,
the Safari Park,the Safari Park,LOC,0.50000000,0.50000000,en,1.00000000,,-1,,,,,,
Massachusetts,Massachusetts,GPE,-0.15000000,0.30000000,en,1.00000000,4037858-5,6254926,X,42.36565000,-71.10832000,NORTH-AMERICA,United States,ENA
Safari Park,Safari Park,GPE,0.13636364,0.45454545,en,1.00000000,,-1,,,,,,
Cincinnati,Cincinnati,GPE,-0.12500000,0.92500000,en,1.00000000,,-1,,,,,,
the United States Geological S,the United States Geological S,GPE,0.00000000,0.00000000,en,1.00000000,,-1,,,,,,
Kholm,Kholm,GPE,0.00000000,0.00000000,en,1.00000000,,-1,,,,,,
Spedar,Spedar,GPE,0.22500000,0.77500000,en,1.00000000,,-1,,,,,,
New York’s,New York’s,GPE,0.13636364,0.45454545,en,1.00000000,,-1,,,,,,
Sunda,Sunda,GPE,0.00000000,0.00000000,en,1.00000000,,-1,,,,,,
Kunar,Kunar,GPE,0.22500000,0.77500000,en,1.00000000,,-1,,,,,,
Epirus,Epirus,LOC,0.22777778,0.35555556,en,1.00000000,,-1,,,,,,
Pacific Northwest,Pacific Northwest,LOC,0.00000000,0.00000000,en,1.00000000,,-1,,,,,,
Atlantic,Atlantic,LOC,0.00000000,0.00000000,en,1.00000000,,-1,,,,,,
South Korea,South Korea,GPE,0.00000000,0.00000000,en,1.00000000,4078029-6,1835841,X,37.00000000,127.50000000,ASIA,South Korea,EAS
Jiuzhaigou,Jiuzhaigou,GPE,0.00000000,0.00000000,en,1.00000000,1154463214,8504880,X,33.25944400,104.24111100,ASIA,China,EAS
Chernobyl,Chernobyl,GPE,-0.63333333,0.86666667,en,1.00000000,4127036-8,710403,X,51.27358900,30.22249000,EUROPE,Ukraine,WCE
Valtonera,Valtonera,GPE,-0.12500000,0.75000000,en,1.00000000,,-1,,,,,,
New York City Suburbs Rattled By Rare Magnitude,New York City Suburbs Rattled By Rare Magnitude,GPE,0.21818182,0.67727273,en,1.00000000,,-1,,,,,,
NYC,NYC,GPE,0.12159091,0.43863636,en,1.00000000,,-1,,,,,,
East Coast,East Coast,LOC,0.12159091,0.43863636,en,1.00000000,,-1,,,,,,
Connecticut,Connecticut,GPE,0.05568182,0.36060606,en,1.00000000,4010487-4,4831725,X,41.66704000,-72.66648000,NORTH-AMERICA,United States,ENA
the Mediterranean Sea,the Mediterranean Sea,LOC,-0.04666667,0.31333333,en,1.00000000,,-1,,,,,,
Nice,Nice,GPE,0.40000000,0.72500000,en,1.00000000,4075416-9,2990440,X,43.70313000,7.26607900,EUROPE-AFRICA,France,MED
Pahang,Pahang,GPE,0.00000000,0.00000000,en,1.00000000,4301609-1,1733042,X,3.50000000,102.75000000,ASIA,Malaysia,SEA
British Columbia,British Columbia,GPE,0.00000000,0.00000000,en,1.00000000,4069670-4,5909050,X,53.99983000,-125.00320000,NORTH-AMERICA,Canada,NWN
Graham Island,Graham Island,LOC,0.00000000,0.00000000,en,1.00000000,,-1,,,,,,
Cabo San,Cabo San,GPE,0.06666667,0.23333333,en,1.00000000,,-1,,,,,,
Puerto Rico’s,Puerto Rico’s,GPE,-0.50000000,1.00000000,en,1.00000000,,-1,,,,,,
Black River,Black River,LOC,-0.08333333,0.21666667,en,1.00000000,,-1,,,,,,
Tyrrhenian Sea,Tyrrhenian Sea,LOC,0.00000000,0.00000000,en,1.00000000,,-1,,,,,,
N.J.,N.J.,GPE,-0.25000000,0.40000000,en,1.00000000,,-1,,,,,,
Thesprotia,Thesprotia,GPE,0.00000000,0.00000000,en,1.00000000,,-1,,,,,,
Leptokarya,Leptokarya,GPE,0.00000000,0.00000000,en,1.00000000,,-1,,,,,,
Terengganu,Terengganu,GPE,0.00000000,0.00000000,en,1.00000000,,-1,,,,,,
Gothenburg,Gothenburg,GPE,0.21875000,0.41875000,en,1.00000000,4021453-9,2711537,X,57.70716000,11.96678900,EUROPE,Sweden,NEU
worl,worl,LOC,0.45000000,0.55000000,en,1.00000000,,-1,,,,,,
Typhoon Kalmaegi,Typhoon Kalmaegi,LOC,0.00000000,0.00000000,en,1.00000000,,-1,,,,,,
East Bay,East Bay,LOC,0.00000000,0.00000000,en,1.00000000,,-1,,,,,,
Volcano Islands,Volcano Islands,LOC,0.00000000,0.00000000,en,1.00000000,,-1,,,,,,
Keller,Keller,GPE,0.06250000,0.37500000,en,1.00000000,,-1,,,,,,
North Kalimantan,North Kalimantan,GPE,0.26666667,0.51666667,en,1.00000000,,-1,,,,,,
Milan,Milan,GPE,0.06250000,0.50000000,en,1.00000000,4037100-1,3173435,X,45.46426900,9.18951000,EUROPE,Italy,WCE
Roman,Roman,GPE,-0.10000000,0.20000000,en,1.00000000,,-1,,,,,,
Madagascar,Madagascar,GPE,0.50000000,1.00000000,en,1.00000000,4074425-5,1062947,X,-20.00000000,47.00000000,AFRICA,Madagascar,MDG
the Grand Sud,the Grand Sud,LOC,0.50000000,1.00000000,en,1.00000000,,-1,,,,,,
Peninsular Malaysia,Peninsular Malaysia,GPE,0.00000000,0.00000000,en,1.00000000,,-1,,,,,,
Netherlands,Netherlands,GPE,0.00000000,0.55000000,en,1.00000000,4042203-3,2750405,X,52.50000000,5.75000000,EUROPE,The Netherlands,NEU
Puerto,Puerto,GPE,0.00000000,0.00000000,en,1.00000000,,-1,,,,,,
‌5.5,‌5.5,GPE,0.00000000,0.00000000,en,1.00000000,,-1,,,,,,
the Tibetan Plateau,the Tibetan Plateau,LOC,0.03750000,0.73750000,en,1.00000000,,-1,,,,,,
Linxia Prefecture,Linxia Prefecture,GPE,0.00000000,0.00000000,en,1.00000000,,-1,,,,,,
Jishishan County,Jishishan County,GPE,0.00000000,0.00000000,en,1.00000000,,-1,,,,,,
Kazakhstan,Kazakhstan,GPE,-0.10000000,0.20000000,en,1.00000000,4029839-5,1522867,X,48.00000000,68.00000000,ASIA,Kazakhstan,WSB
the Aegean Sea,the Aegean Sea,LOC,0.20000000,1.00000000,en,1.00000000,,-1,,,,,,
SC,SC,GPE,0.35000000,0.65000000,en,1.00000000,,-1,,,,,,
Midlands,Midlands,GPE,0.35000000,0.65000000,en,1.00000000,,-1,,,,,,
Wasatch Front,Wasatch Front,GPE,0.00000000,0.00000000,en,1.00000000,,-1,,,,,,
Centerville,Centerville,GPE,0.00000000,0.00000000,en,1.00000000,,-1,,,,,,
Charleston,Charleston,GPE,0.00000000,0.00000000,en,1.00000000,,-1,,,,,,
Astoria,Astoria,GPE,0.10000000,0.10000000,en,1.00000000,,-1,,,,,,
Himalayas,Himalayas,GPE,-0.00666667,0.42435897,en,1.00000000,,-1,,,,,,
Northern India,Northern India,LOC,0.40000000,0.90000000,en,1.00000000,,-1,,,,,,
Oita City,Oita City,GPE,0.03125000,0.95000000,en,1.00000000,,-1,,,,,,
Haneda,Haneda,GPE,0.00000000,0.00000000,en,1.00000000,,-1,,,,,,
Cameroon,Cameroon,GPE,0.03333333,0.56666667,en,1.00000000,4029413-4,2233387,X,6.00000000,12.00000000,AFRICA,Cameroon,CAF
Japana,Japana,GPE,-0.45000000,0.65000000,en,1.00000000,,-1,,,,,,
Laincha,Laincha,GPE,-0.10000000,0.10000000,en,1.00000000,,-1,,,,,,
Typhoon Kalmaegis,Typhoon Kalmaegis,LOC,-0.10000000,0.40000000,en,1.00000000,,-1,,,,,,
Doda,Doda,GPE,0.10000000,0.30000000,en,1.00000000,7700984-8,1272476,X,33.14874900,75.54610900,ASIA,India,TIB
TEPCO,TEPCO,GPE,-0.10000000,0.50000000,en,1.00000000,,-1,,,,,,
KRON,KRON,GPE,0.67500000,0.75000000,en,1.00000000,,-1,,,,,,
Northern Chile,Northern Chile,LOC,0.00000000,0.00000000,en,1.00000000,,-1,,,,,,
West Bengal,West Bengal,LOC,-0.40000000,0.70000000,en,1.00000000,4079196-8,1252881,X,24.00000000,88.00000000,ASIA,India,SAS
Canberra,Canberra,GPE,0.03125000,0.30000000,en,1.00000000,4085133-3,2172517,X,-35.28345900,149.12807000,OCEANIA,Australia,SAU
'City of Joy','City of Joy',GPE,0.61666667,0.46666667,en,1.00000000,,-1,,,,,,
Tehrathum,Tehrathum,GPE,0.00000000,0.00000000,en,1.00000000,,-1,,,,,,
Panchthar,Panchthar,GPE,0.00000000,0.00000000,en,1.00000000,,-1,,,,,,
Sankhuw,Sankhuw,GPE,0.03333333,0.26666667,en,1.00000000,,-1,,,,,,
Feb ⁠24,Feb ⁠24,GPE,0.00000000,0.00000000,en,1.00000000,,-1,,,,,,
Sankhuwasabha-Taplejung,Sankhuwasabha-Taplejung,GPE,0.00000000,0.00000000,en,1.00000000,,-1,,,,,,
Vizag,Vizag,GPE,0.03393939,0.43757576,en,1.00000000,4324044-6,1253102,X,17.69003900,83.20924900,ASIA,India,SAS
Western Australia,Western Australia,LOC,0.16666667,0.16666667,en,1.00000000,,-1,,,,,,
Gnowangerup,Gnowangerup,GPE,0.10952381,0.57142857,en,1.00000000,,-1,,,,,,
West Coast Mega-Earthquake,West Coast Mega-Earthquake,LOC,0.00000000,0.00000000,en,1.00000000,,-1,,,,,,
Bhutnal Tanda,Bhutnal Tanda,GPE,0.10000000,0.40000000,en,1.00000000,,-1,,,,,,
St. Elias Mountains,St. Elias Mountains,LOC,0.12000000,0.58000000,en,1.00000000,,-1,,,,,,
the St. Elias Mountains,the St. Elias Mountains,LOC,0.30000000,1.00000000,en,1.00000000,,-1,,,,,,
Myanmars,Myanmars,GPE,-0.02500000,0.11071429,en,1.00000000,,-1,,,,,,
Narita,Narita,GPE,0.00000000,0.00000000,en,1.00000000,4265233-9,2111684,X,35.78332900,140.31666900,ASIA,Japan,EAS
West Bengal's,West Bengal's,GPE,0.00000000,1.00000000,en,1.00000000,,-1,,,,,,
the Banda Sea,the Banda Sea,LOC,0.23333333,0.40000000,en,1.00000000,,-1,,,,,,
Evrytania,Evrytania,GPE,0.00000000,0.00000000,en,1.00000000,,-1,,,,,,
Indonesias coast,Indonesias coast,LOC,0.20000000,0.30833333,en,1.00000000,,-1,,,,,,
Indias,Indias,GPE,0.15000000,0.53750000,en,1.00000000,,-1,,,,,,
Antar,Antar,GPE,0.00000000,0.25000000,en,1.00000000,,-1,,,,,,
Sudbury,Sudbury,GPE,0.00000000,0.00000000,en,1.00000000,,-1,,,,,,
East Nusa,East Nusa,GPE,-0.16666667,0.25000000,en,1.00000000,,-1,,,,,,
Maumere,Maumere,GPE,-0.16666667,0.25000000,en,1.00000000,,-1,,,,,,
Çetin,Çetin,GPE,0.00000000,0.00000000,en,1.00000000,,-1,,,,,,
Tangshan,Tangshan,GPE,0.40000000,0.37500000,en,1.00000000,4058987-0,1793346,X,39.63333000,118.18332900,ASIA,China,EAS
Bitung,Bitung,GPE,0.00000000,0.23333333,en,1.00000000,,-1,,,,,,
Ont.,Ont.,GPE,0.00000000,0.00000000,en,1.00000000,,-1,,,,,,
Gosfand Dara,Gosfand Dara,LOC,-0.10000000,0.06250000,en,1.00000000,,-1,,,,,,
Us,Us,GPE,-0.20000000,0.36666667,en,1.00000000,,-1,,,,,,
Bommer,Bommer,GPE,0.00000000,0.00000000,en,1.00000000,,-1,,,,,,
nickcarraway,nickcarraway,GPE,0.00000000,0.00000000,en,1.00000000,,-1,,,,,,
strieks Guam,strieks Guam,LOC,0.00000000,0.00000000,en,1.00000000,,-1,,,,,,
Srinagar,Srinagar,GPE,0.00000000,0.00000000,en,1.00000000,,-1,,,,,,
Noida,Noida,GPE,0.00000000,0.00000000,en,1.00000000,7669301-6,7279746,X,28.57999900,77.32999900,ASIA,India,SAS
East Wing,East Wing,LOC,0.17777778,0.41111111,en,1.00000000,,-1,,,,,,
heritageThe Hill,heritageThe Hill,LOC,0.00000000,0.00000000,en,1.00000000,,-1,,,,,,
​Afghanistan,​Afghanistan,GPE,0.00000000,0.00000000,en,1.00000000,,-1,,,,,,
Toghrul,Toghrul,GPE,0.00000000,0.00000000,en,1.00000000,,-1,,,,,,
SAN JOSE,SAN JOSE,GPE,0.50000000,0.50000000,en,1.00000000,,-1,,,,,,
Portoviejo,Portoviejo,GPE,0.06190476,0.25357143,en,1.00000000,,-1,,,,,,
Hunchun,Hunchun,GPE,0.00000000,0.00000000,en,1.00000000,,-1,,,,,,
earthquakeSelf,earthquakeSelf,GPE,0.00000000,0.00000000,en,1.00000000,,-1,,,,,,
Nanded,Nanded,GPE,0.00000000,0.00000000,en,1.00000000,,-1,,,,,,
Pangra Shinde,Pangra Shinde,LOC,-0.05000000,0.20000000,en,1.00000000,,-1,,,,,,
Maniwaki,Maniwaki,GPE,0.00000000,0.00000000,en,1.00000000,,-1,,,,,,
Earth Planet,Earth Planet,LOC,0.00000000,0.00000000,en,1.00000000,,-1,,,,,,
Mariana,Mariana,LOC,0.00000000,0.00000000,en,1.00000000,,-1,,,,,,
N,N,GPE,0.00000000,0.00000000,en,1.00000000,,-1,,,,,,
Central West,Central West,LOC,0.06818182,0.35227273,en,1.00000000,,-1,,,,,,
New South Wales's,New South Wales's,GPE,0.06818182,0.35227273,en,1.00000000,,-1,,,,,,
Cadia,Cadia,GPE,0.00000000,0.10000000,en,1.00000000,,-1,,,,,,
Newmont,Newmont,GPE,0.00000000,0.10000000,en,1.00000000,,-1,,,,,,
magnitude-4.5,magnitude-4.5,LOC,0.00000000,0.00000000,en,1.00000000,,-1,,,,,,
New York City,New York City,GPE,0.19659091,0.34696970,en,1.00000000,4042011-5,5128581,X,40.71416600,-74.00597000,NORTH-AMERICA,United States,ENA
Pembroke,Pembroke,GPE,0.00000000,0.00000000,en,1.00000000,4228555-0,2640503,X,51.67463900,-4.91286000,EUROPE,United Kingdom,NEU
WASHINGTON,WASHINGTON,GPE,0.70000000,0.60000000,en,1.00000000,,-1,,,,,,
Marathwada,Marathwada,GPE,0.00000000,0.00000000,en,1.00000000,,-1,,,,,,
Afgha,Afgha,GPE,0.00000000,0.20000000,en,1.00000000,,-1,,,,,,
Orange,Orange,LOC,0.00000000,0.00000000,en,1.00000000,,-1,,,,,,
Magnitude-4.5,Magnitude-4.5,GPE,0.21428571,0.42857143,en,1.00000000,,-1,,,,,,
Sicily,Sicily,GPE,0.00000000,0.00000000,en,1.00000000,,-1,,,,,,
Nev.,Nev.,GPE,0.00000000,0.00000000,en,1.00000000,,-1,,,,,,
SILVER SPRING,SILVER SPRING,GPE,0.00000000,0.00000000,en,1.00000000,,-1,,,,,,
Long Island,Long Island,GPE,-0.09272727,0.45090909,en,1.00000000,,-1,,,,,,
Orbán,Orbán,GPE,0.00000000,0.10000000,en,1.00000000,,-1,,,,,,
Hungary,Hungary,GPE,0.00000000,0.10000000,en,1.00000000,4078541-5,719819,X,47.00000000,20.00000000,EUROPE,Hungary,WCE
Tehran province,Tehran province,GPE,0.00000000,0.00000000,en,1.00000000,,-1,,,,,,
Armenia,Armenia,GPE,0.20000000,0.30833333,en,1.00000000,4085931-9,174982,X,40.00000000,45.00000000,ASIA,Armenia,WCA
the Strait of Hormuz,the Strait of Hormuz,LOC,0.20000000,0.30833333,en,1.00000000,,-1,,,,,,
Agrafa,Agrafa,GPE,0.41111111,0.64444444,en,1.00000000,,-1,,,,,,
U.S,U.S,GPE,-0.12500000,0.37500000,en,1.00000000,,-1,,,,,,
Manisa,Manisa,GPE,0.00000000,0.00000000,en,1.00000000,,-1,,,,,,
Sindirgi,Sindirgi,GPE,0.18333333,0.72000000,en,1.00000000,,-1,,,,,,
